#separator:tab
#html:true
#columns:Hanzi	Pinyin	English	Breakdown	Examples	Note	Context	Hint	Link	Tags
#tags column:10
一见钟情	yí jiàn zhōng qíng	love at first sight	一 (one) 见 (see) 钟 (devote) 情 (affection)	他们说他们是一见钟情。 / They say it was love at first sight.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%80%E8%A7%81%E9%92%9F%E6%83%85	relationships useful-phrases
弹舌	dàn shé	to roll the tongue / rolled R sound	弹 (flick) 舌 (tongue)	我不会弹舌。 / I can’t roll my tongue.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%BC%B9%E8%88%8C	language-learning pronunciation
八卦	bā guà	gossip / to gossip	八 (eight) 卦 (trigram)	她很喜欢八卦明星的事情。 / She really likes gossiping about celebrities.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%85%AB%E5%8D%A6	everyday-vocab
有道理	yǒu dào lǐ	makes sense / reasonable	有 (have) 道 (way) 理 (reason)	你说得有道理。 / What you said makes sense.			production: statement, no 吗	https://www.chineseidioms.com/phrases/you-dao-li	conversation-glue agreement production-ready
热身	rè shēn	warm up	热 (warm) 身 (body)	运动前要先热身。 / You should warm up before exercising.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%83%AD%E8%BA%AB	everyday-vocab
间谍	jiàn dié	spy	间 (covert) 谍 (spy)	电影里的主角是一个间谍。 / The main character in the movie is a spy.				https://www.mdbg.net/chinese/dictionary?wdqb=%E9%97%B4%E8%B0%8D	everyday-vocab
少数民族	shǎo shù mín zú	ethnic minority	少 (few) 数 (number) 民 (people) 族 (group)	中国有很多少数民族。 / China has many ethnic minorities.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%B0%91%E6%95%B0%E6%B0%91%E6%97%8F	culture-society everyday-vocab
直播	zhí bō	livestream / to livestream	直 (direct) 播 (broadcast)	他今晚要直播打游戏。 / He is going to livestream playing games tonight.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%9B%B4%E6%92%AD	internet-media everyday-vocab
经典	jīng diǎn	classic	经 (classic) 典 (canon)	这是一首经典老歌。 / This is a classic old song.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%BB%8F%E5%85%B8	media culture everyday-vocab
女士优先	nǚ shì yōu xiān	ladies first	女 (female) 士 (person) 优 (priority) 先 (first)	女士优先，请你先进去。 / Ladies first, please go in first.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%A5%B3%E5%A3%AB%E4%BC%98%E5%85%88	useful-phrases culture
特别的风土人情	tè bié de fēng tǔ rén qíng	unique local customs and traditions	特 (special) 别 (kind) 的 (particle) 风 (wind) 土 (land) 人 (people) 情 (feeling)	这个地方有特别的风土人情。 / This place has unique local customs and traditions.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%89%B9%E5%88%AB%E7%9A%84%E9%A3%8E%E5%9C%9F%E4%BA%BA%E6%83%85	culture useful-phrases
可惜啦	kě xī la	that’s a pity	可 (can) 惜 (pity) 啦 (modal)	你不能来？可惜啦！ / You can’t come? That’s a pity!				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8F%AF%E6%83%9C%E5%95%A6	conversation-glue reaction production-ready
延迟	yán chí	delay / latency	延 (delay) 迟 (late)	今天网络延迟很高。 / The network latency is high today.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%BB%B6%E8%BF%9F	technology everyday-vocab
风景	fēng jǐng	scenery	风 (wind) 景 (view)	这里的风景很漂亮。 / The scenery here is beautiful.				https://www.mdbg.net/chinese/dictionary?wdqb=%E9%A3%8E%E6%99%AF	nature everyday-vocab
不知不觉地	bù zhī bù jué dì	unconsciously / without realizing it	不 (not) 知 (know) 觉 (perceive) 地 (adverbial)	不知不觉地，我已经学了一个小时。 / Without realizing it, I had already studied for an hour.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%8D%E7%9F%A5%E4%B8%8D%E8%A7%89%E5%9C%B0	everyday-vocab useful-phrases
儿化音	ér huà yīn	erhua / northern -r sound	儿 (erhua) 化 (transform) 音 (sound)	北京话里有很多儿化音。 / Beijing speech has a lot of erhua sounds.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%84%BF%E5%8C%96%E9%9F%B3	language-learning pronunciation culture
那必须的！	nà bì xū de	of course! / absolutely!	那 (that) 必 (must) 须 (necessary) 的 (particle)	你会继续学中文吗？那必须的！ / Will you keep learning Chinese? Of course!		casual emphatic; internet flavor		https://www.mdbg.net/chinese/dictionary?wdqb=%E9%82%A3%E5%BF%85%E9%A1%BB%E7%9A%84%EF%BC%81	conversation-glue reaction production-ready
铁粉	tiě fěn	hardcore fan / big fan	铁 (iron) 粉 (fan)	我是这个乐队的铁粉。 / I’m a hardcore fan of this band.				https://www.mdbg.net/chinese/dictionary?wdqb=%E9%93%81%E7%B2%89	internet-media slang
点赞	diǎn zàn	to like / give a thumbs up online	点 (click) 赞 (praise)	如果你喜欢这个视频，记得点赞。 / If you like this video, remember to give it a like.				https://www.chineseidioms.com/slang/dian-zan	internet-media everyday-vocab
地道	dì dào	authentic / genuine	地 (earth) 道 (way)	他的中文说得很地道。 / His Chinese sounds very authentic.		language/manner authentic		https://www.mdbg.net/chinese/dictionary?wdqb=%E5%9C%B0%E9%81%93	everyday-vocab
加密	jiā mì	encryption / to encrypt	加 (add) 密 (secret)	这个文件需要加密。 / This file needs to be encrypted.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8A%A0%E5%AF%86	technology everyday-vocab
模仿	mó fǎng	to imitate	模 (model) 仿 (imitate)	他很会模仿别人的声音。 / He is good at imitating other people’s voices.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%A8%A1%E4%BB%BF	everyday-vocab
天才	tiān cái	genius	天 (heaven) 才 (talent)	他真是个音乐天才。 / He really is a musical genius.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%A4%A9%E6%89%8D	everyday-vocab
障碍	zhàng ài	barrier / obstacle	障 (block) 碍 (hinder)	语言不是最大的障碍。 / Language is not the biggest barrier.				https://www.mdbg.net/chinese/dictionary?wdqb=%E9%9A%9C%E7%A2%8D	everyday-vocab
网名	wǎng míng	username / online name	网 (net) 名 (name)	你的网名是什么意思？ / What does your username mean?				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%BD%91%E5%90%8D	internet-media everyday-vocab
一模一样	yì mú yí yàng	exactly the same / identical	一 (one) 模 (mold) 样 (appearance)	这两个东西一模一样。 / These two things are exactly the same.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%80%E6%A8%A1%E4%B8%80%E6%A0%B7	everyday-vocab useful-phrases
卡了	kǎ le	it froze / the connection lagged	卡 (stuck) 了 (perfective)	你刚才卡了，我没听清楚。 / You lagged just now, I didn’t hear clearly.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8D%A1%E4%BA%86	technology useful-phrases production-ready
零星	líng xīng	scattered / here and there	零 (scattered) 星 (star)	我只记得一些零星的信息。 / I only remember some scattered information.				https://www.mdbg.net/chinese/dictionary?wdqb=%E9%9B%B6%E6%98%9F	everyday-vocab
服兵役	fú bīng yì	to serve in the military	服 (serve) 兵 (soldier) 役 (duty)	在有些国家，年轻人必须服兵役。 / In some countries, young people must serve in the military.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9C%8D%E5%85%B5%E5%BD%B9	society everyday-vocab
强制的	qiáng zhì de	mandatory / compulsory	强 (forceful) 制 (compel) 的 (particle)	这个课程是强制的吗？ / Is this course mandatory?				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%BC%BA%E5%88%B6%E7%9A%84	everyday-vocab
这么说吧	zhè me shuō ba	let’s put it this way	这 (this) 么 (suffix) 说 (say) 吧 (modal)	这么说吧，我不是不喜欢，只是不太习惯。 / Let’s put it this way: it’s not that I dislike it, I’m just not used to it.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%BF%99%E4%B9%88%E8%AF%B4%E5%90%A7	conversation-glue production-ready
时髦	shí máo	fashionable / trendy	时 (current) 髦 (stylish)	这件衣服很时髦。 / This piece of clothing is very fashionable.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%97%B6%E9%AB%A6	everyday-vocab
贬义词	biǎn yì cí	derogatory term	贬 (negative) 义 (meaning) 词 (word)	这个词是贬义词，最好别乱用。 / This word is derogatory, so it’s best not to use it carelessly.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%B4%AC%E4%B9%89%E8%AF%8D	language-learning everyday-vocab
超模	chāo mó	supermodel	超 (super) 模 (model)	她以前是一个超模。 / She used to be a supermodel.				https://www.mdbg.net/chinese/dictionary?wdqb=%E8%B6%85%E6%A8%A1	media everyday-vocab
沉稳	chén wěn	composed / steady	沉 (calm) 稳 (steady)	他做事很沉稳。 / He handles things in a composed way.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%B2%89%E7%A8%B3	personality everyday-vocab
学者	xué zhě	scholar	学 (study) 者 (person)	他是一位研究中国历史的学者。 / He is a scholar who studies Chinese history.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%AD%A6%E8%80%85	education everyday-vocab
顾虑	gù lǜ	concern / worry; to have concerns	顾 (consider) 虑 (worry)	我有一点顾虑。 / I have some concerns.				https://www.mdbg.net/chinese/dictionary?wdqb=%E9%A1%BE%E8%99%91	emotions-opinions everyday-vocab
疲惫	pí bèi	exhausted / fatigued	疲 (tired) 惫 (exhausted)	今天我感觉很疲惫。 / I feel very exhausted today.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%96%B2%E6%83%AB	emotions everyday-vocab
基督教	jī dū jiào	Christianity	基 (foundation) 督 (christ) 教 (religion)	基督教在很多国家都有信徒。 / Christianity has believers in many countries.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%9F%BA%E7%9D%A3%E6%95%99	religion culture
十字架	shí zì jià	cross	十 (ten) 字 (character) 架 (frame)	教堂上有一个十字架。 / There is a cross on the church.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8D%81%E5%AD%97%E6%9E%B6	religion culture
噩梦	è mèng	nightmare	噩 (terrible) 梦 (dream)	我昨晚做了一个噩梦。 / I had a nightmare last night.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%99%A9%E6%A2%A6	everyday-vocab
文言文	wén yán wén	Classical Chinese	文 (writing) 言 (speech)	文言文对我来说很难。 / Classical Chinese is very difficult for me.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%96%87%E8%A8%80%E6%96%87	culture-history language-learning
白幼瘦	bái yòu shòu	pale, youthful, and thin beauty standard	白 (pale) 幼 (young) 瘦 (thin)	“白幼瘦”是一种有争议的审美标准。 / “Pale, young, and thin” is a controversial beauty standard.		Chinese beauty standard, controversial		https://www.mdbg.net/chinese/dictionary?wdqb=%E7%99%BD%E5%B9%BC%E7%98%A6	culture-society recognition-first
滤镜	lǜ jìng	filter	滤 (filter) 镜 (lens)	这张照片用了滤镜。 / This photo used a filter.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%BB%A4%E9%95%9C	internet-media everyday-vocab
美颜	měi yán	beauty filter / beautifying effect	美 (beautify) 颜 (face)	直播软件里常常有美颜功能。 / Livestreaming apps often have beauty filter features.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%BE%8E%E9%A2%9C	internet-media everyday-vocab
精髓	jīng suǐ	essence / core idea	精 (essence) 髓 (marrow)	这句话抓住了问题的精髓。 / This sentence captures the essence of the problem.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%B2%BE%E9%AB%93	everyday-vocab
复杂	fù zá	complicated / complex	复 (multiple) 杂 (mixed)	这个语法点有点复杂。 / This grammar point is a bit complicated.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%A4%8D%E6%9D%82	everyday-vocab
看个人吧	kàn gè rén ba	depends on the person	看 (depend) 个 (measure) 人 (person) 吧 (modal)	好不好用？看个人吧。 / Is it easy to use? It depends on the person.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%9C%8B%E4%B8%AA%E4%BA%BA%E5%90%A7	conversation-glue opinion production-ready
火起来	huǒ qǐ lái	to become popular / blow up online	火 (popular) 起 (rise) 来 (come)	这个梗最近火起来了。 / This meme has become popular recently.		internet 'go viral'		https://www.mdbg.net/chinese/dictionary?wdqb=%E7%81%AB%E8%B5%B7%E6%9D%A5	internet-media useful-phrases
还行吧，还行吧	hái xíng ba hái xíng ba	it’s okay / just so-so	还 (still) 行 (okay) 吧 (modal)	这家店怎么样？还行吧，还行吧。 / How is this restaurant? It’s okay, just so-so.		doubled = downplay	production: repeat the phrase	https://www.mdbg.net/chinese/dictionary?wdqb=%E8%BF%98%E8%A1%8C%E5%90%A7%EF%BC%8C%E8%BF%98%E8%A1%8C%E5%90%A7	conversation-glue reaction production-ready
客观地来讲	kè guān dì lái jiǎng	objectively speaking	客 (object) 观 (view) 地 (adverbial) 来 (come) 讲 (speak)	客观地来讲，这个办法更安全。 / Objectively speaking, this method is safer.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%AE%A2%E8%A7%82%E5%9C%B0%E6%9D%A5%E8%AE%B2	conversation-glue opinion production-ready
掌握	zhǎng wò	to master / grasp	掌 (palm) 握 (grasp)	我还没完全掌握这个语法。 / I haven’t fully mastered this grammar yet.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%8E%8C%E6%8F%A1	education everyday-vocab
提示	tí shì	hint / prompt / reminder	提 (raise) 示 (show)	你能给我一个提示吗？ / Can you give me a hint?				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%8F%90%E7%A4%BA	technology everyday-vocab
人工智能	rén gōng zhì néng	artificial intelligence	人 (human) 工 (made) 智 (intelligence) 能 (ability)	人工智能正在改变很多行业。 / Artificial intelligence is changing many industries.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD	technology everyday-vocab
不可思议的	bù kě sī yì de	unbelievable / incredible	不 (not) 可 (can) 思 (think) 议 (discuss) 的 (particle)	这是一个不可思议的故事。 / This is an unbelievable story.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%8D%E5%8F%AF%E6%80%9D%E8%AE%AE%E7%9A%84	everyday-vocab
三观	sān guān	worldview / core values	三 (three) 观 (view)	我觉得我们的三观不太一样。 / I feel like our core values are not quite the same.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%89%E8%A7%82	culture-society recognition-ready
你懂的	nǐ dǒng de	you know what I mean	你 (you) 懂 (understand) 的 (particle)	这个事情有点复杂，你懂的。 / This thing is a bit complicated, you know what I mean.		winking / suggestive slang		https://www.mdbg.net/chinese/dictionary?wdqb=%E4%BD%A0%E6%87%82%E7%9A%84	conversation-glue slang production-ready
羡慕嫉妒恨	xiàn mù jí dù hèn	extremely envious / jealous	羡 (envy) 慕 (admire) 嫉 (jealous) 妒 (resent) 恨 (hate)	看到他去旅行，我真是羡慕嫉妒恨。 / Seeing him go traveling, I’m extremely envious.		internet meme; playful escalation		https://www.mdbg.net/chinese/dictionary?wdqb=%E7%BE%A1%E6%85%95%E5%AB%89%E5%A6%92%E6%81%A8	internet-slang emotions recognition-first
差不多	chà bu duō	about / roughly / close enough	差 (differ) 不 (not) 多 (much)	差不多了，我们走吧。 / Close enough, let’s go.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%B7%AE%E4%B8%8D%E5%A4%9A	conversation-glue everyday-vocab production-ready
没办法	méi bàn fǎ	nothing you can do / no choice	没 (not) 办 (handle) 法 (method)	没办法，只能等了。 / Nothing to do but wait.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%B2%A1%E5%8A%9E%E6%B3%95	conversation-glue useful-phrases production-ready
看情况	kàn qíng kuàng	it depends	看 (depend) 情 (situation) 况 (status)	明天去不去？看情况吧。 / Going tomorrow? Depends.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%9C%8B%E6%83%85%E5%86%B5	conversation-glue opinion production-ready
怎么办	zěn me bàn	what should I do / what now	怎 (how) 么 (suffix) 办 (handle)	钥匙丢了，怎么办？ / Lost my key, what do I do?				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%80%8E%E4%B9%88%E5%8A%9E	conversation-glue useful-phrases production-ready
真的假的	zhēn de jiǎ de	for real? / seriously?	真 (real) 的 (particle) 假 (fake)	真的假的？你中奖了？ / For real? You won?				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%9C%9F%E7%9A%84%E5%81%87%E7%9A%84	reaction production-ready
完蛋了	wán dàn le	I’m screwed / it’s over	完 (done) 蛋 (egg) 了 (particle)	完蛋了，我忘带钱包了。 / I’m screwed, forgot my wallet.		playful or genuine 'doomed'		https://www.mdbg.net/chinese/dictionary?wdqb=%E5%AE%8C%E8%9B%8B%E4%BA%86	reaction emotions production-ready
厉害	lì hai	impressive / awesome	厉 (severe) 害 (harm)	你太厉害了！ / You’re amazing!		praise; also 'intense/severe'		https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8E%89%E5%AE%B3	reaction emotions-opinions production-ready
受不了	shòu bù liǎo	can’t stand it	受 (bear) 不 (not) 了 (able)	这天气我受不了。 / Can’t stand this weather.	了 here = liǎo (potential complement).			https://www.mdbg.net/chinese/dictionary?wdqb=%E5%8F%97%E4%B8%8D%E4%BA%86	emotions useful-phrases production-ready
习惯了	xí guàn le	got used to it	习 (habit) 惯 (accustomed) 了 (perfective)	早起？习惯了。 / Wake up early? Used to it.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B9%A0%E6%83%AF%E4%BA%86	useful-phrases everyday-vocab production-ready
听说	tīng shuō	I heard / it’s said	听 (hear) 说 (say)	听说他要回国了。 / Heard he’s going home.				https://www.mdbg.net/chinese/dictionary?wdqb=%E5%90%AC%E8%AF%B4	conversation-glue connector production-ready
据说	jù shuō	supposedly / it’s said	据 (according) 说 (say)	据说这家店特别好吃。 / Supposedly this place is great.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%8D%AE%E8%AF%B4	conversation-glue connector production-ready
居然	jū rán	unexpectedly / actually	居 (actually) 然 (so)	他居然没来！ / He didn’t show — unbelievable!		emotional surprise (vs 竟然)		https://www.mdbg.net/chinese/dictionary?wdqb=%E5%B1%85%E7%84%B6	emphasis reaction production-ready
算了	suàn le	forget it / let it go	算 (count) 了 (particle)	算了，别想了。 / Forget it, stop thinking about it.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%AE%97%E4%BA%86	conversation-glue useful-phrases production-ready
有点儿	yǒu diǎn er	a bit / a little	有 (have) 点 (bit) 儿 (erhua)	我有点儿累。 / I’m a bit tired.		slightly negative tilt (vs 一点儿)		https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9C%89%E7%82%B9%E5%84%BF	emphasis everyday-vocab erhua production-ready
稍微	shāo wēi	slightly / a bit	稍 (slightly) 微 (tiny)	稍微等一下。 / Wait just a moment.				https://www.mdbg.net/chinese/dictionary?wdqb=%E7%A8%8D%E5%BE%AE	everyday-vocab production-ready
来不及	lái bù jí	can’t make it in time	来 (come) 不 (not) 及 (in time)	来不及了，快走！ / No time, let’s go!			production: 不 (negation)	https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9D%A5%E4%B8%8D%E5%8F%8A	useful-phrases everyday-vocab production-ready
来得及	lái de jí	still time / can make it	来 (come) 得 (able) 及 (in time)	还来得及，别急。 / Still time, don’t rush.			production: 得 (able)	https://www.mdbg.net/chinese/dictionary?wdqb=%E6%9D%A5%E5%BE%97%E5%8F%8A	useful-phrases everyday-vocab production-ready
我跟你说	wǒ gēn nǐ shuō	let me tell you	我 (I) 跟 (with) 你 (you) 说 (say)	我跟你说，他根本没去。 / Listen, he didn’t even go.				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%88%91%E8%B7%9F%E4%BD%A0%E8%AF%B4	conversation-glue production-ready
怎么了	zěn me le	what’s wrong / what happened	怎 (how) 么 (suffix) 了 (particle)	你脸色不好，怎么了？ / You look off, what’s wrong?				https://www.mdbg.net/chinese/dictionary?wdqb=%E6%80%8E%E4%B9%88%E4%BA%86	reaction useful-phrases production-ready
没事	méi shì	it’s nothing / it’s fine	没 (not) 事 (matter)	没事，我自己来。 / It’s fine, I’ll do it myself.		also reply to 谢谢		https://www.mdbg.net/chinese/dictionary?wdqb=%E6%B2%A1%E4%BA%8B	reaction useful-phrases production-ready
拜托	bài tuō	please / come on	拜 (pray) 托 (entrust)	拜托你帮个忙。 / Please help me out.		real plea or sarcastic eye-roll		https://www.mdbg.net/chinese/dictionary?wdqb=%E6%8B%9C%E6%89%98	reaction conversation-glue production-ready
不至于吧	bú zhì yú ba	surely not that bad	不 (not) 至 (reach) 于 (to) 吧 (modal)	哭成这样？不至于吧。 / Crying this much? Surely not.				https://www.mdbg.net/chinese/dictionary?wdqb=%E4%B8%8D%E8%87%B3%E4%BA%8E%E5%90%A7	reaction disagreement-softener production-ready
